iter	Passed	Remaining
0	35	2076
1	52	1516
2	68	1300
3	83	1170
4	99	1093
5	114	1033
6	135	1024
7	153	1000
8	169	957
9	187	939
10	203	908
11	219	877
12	236	854
13	252	831
14	270	811
15	286	788
16	303	768
17	321	750
18	336	726
19	351	703
20	367	683
21	382	659
22	400	644
23	417	626
24	434	608
25	455	595
26	471	576
27	482	551
28	490	524
29	498	498
30	506	474
31	515	451
32	525	429
33	533	407
34	541	386
35	549	366
36	557	346
37	565	327
38	571	307
39	579	289
40	587	272
41	595	255
42	603	238
43	611	222
44	620	206
45	629	191
46	637	176
47	645	161
48	653	146
49	661	132
50	670	118
51	679	104
52	687	90
53	697	77
54	706	64
55	714	51
56	723	38
57	731	25
58	739	12
59	746	0
